1,AI101,Delhi,New York,15/06/2023,10:30,AirIndia,1200,300,300
2,IG202,Mumbai,London,20/06/2023,08:00,IndiGo,950,220,220
3,SJ303,Bangalore,Tokyo,25/06/2023,22:10,SpiceJet,1050,250,250
4,VS404,Chennai,Dubai,10/06/2023,14:45,Vistara,650,180,180
5,EK505,Kolkata,Singapore,30/06/2023,19:20,Emirates,750,200,200
6,AI606,Mumbai,Paris,15/06/2023,08:00,AirIndia,1100,280,280
7,IG707,Delhi,Dubai,20/06/2023,14:45,IndiGo,600,190,190
8,SJ808,Chennai,London,25/06/2023,10:30,SpiceJet,1000,240,240
9,VS909,Bangalore,Singapore,30/06/2023,22:10,Vistara,800,210,209
10,EK010,Kolkata,Sydney,10/06/2023,19:20,Emirates,1300,320,320
